電力会社,プラン,契約アンペア数(A),基本料金(円)
東京電力エナジーパートナー,従量電灯B,10,286.00
東京電力エナジーパートナー,従量電灯B,15,429.00
東京電力エナジーパートナー,従量電灯B,20,572.00
東京電力エナジーパートナー,従量電灯B,30,858.00
東京電力エナジーパートナー,従量電灯B,40,1144.00
東京電力エナジーパートナー,従量電灯B,50,1430.00
東京電力エナジーパートナー,従量電灯B,60,1716.00
東京電力エナジーパートナー,スタンダードS,10,311.75
東京電力エナジーパートナー,スタンダードS,15,467.63
東京電力エナジーパートナー,スタンダードS,20,623.50
東京電力エナジーパートナー,スタンダードS,30,935.25
東京電力エナジーパートナー,スタンダードS,40,1247.00
東京電力エナジーパートナー,スタンダードS,50,1558.75
東京電力エナジーパートナー,スタンダードS,60,1870.50
東京ガス,ずっとも電気1,30,858.00
東京ガス,ずっとも電気1,40,1144.00
東京ガス,ずっとも電気1,50,1430.00
東京ガス,ずっとも電気1,60,1716.00
Looopでんき,おうちプラン,10,0.00
Looopでんき,おうちプラン,15,0.00
Looopでんき,おうちプラン,20,0.00
Looopでんき,おうちプラン,30,0.00
Looopでんき,おうちプラン,40,0.00
Looopでんき,おうちプラン,50,0.00
Looopでんき,おうちプラン,60,0.00
